Group,Hour,Day,PM_mean,PM_sd,Time,,,,
TEAM3,4,11/9/2015,0.035,0.02857738,11/9/2015 4:31,,,,
TEAM3,5,11/4/2015,0.56,0.129421791,11/4/2015 5:25,,,,
TEAM3,5,11/6/2015,0.12,0.038815804,11/6/2015 5:28,,,,
TEAM3,5,11/7/2015,0.155,0.093683866,11/7/2015 5:31,,,,
TEAM3,5,11/9/2015,0.03,0.024221203,11/9/2015 5:31,,,,
TEAM3,6,11/4/2015,0.63,0.09093954,11/4/2015 6:25,,,,
TEAM3,6,11/6/2015,0.18,0.070828431,11/6/2015 6:28,,,,
TEAM3,6,11/7/2015,0.105,0.084301048,11/7/2015 6:31,,,,
TEAM3,6,11/9/2015,0.025,0.017888544,11/9/2015 6:32,,,,
TEAM3,7,11/4/2015,0.755,0.185193592,11/4/2015 7:25,,,,
TEAM3,7,11/6/2015,0.325,0.134561015,11/6/2015 7:28,,,,
TEAM3,7,11/7/2015,0.115,0.039707262,11/7/2015 7:31,,,,
TEAM3,7,11/9/2015,0.045,0.038686776,11/9/2015 7:32,,,,
TEAM3,8,11/4/2015,0.36,0.11973582,11/4/2015 8:25,,,,
TEAM3,8,11/6/2015,0.33,0.069856997,11/6/2015 8:28,,,,
TEAM3,8,11/7/2015,0.11,0.030983867,11/7/2015 8:32,,,,
TEAM3,8,11/9/2015,0.045,0.020976177,11/9/2015 8:32,,,,
TEAM3,9,11/3/2015,0.18,0.049328829,11/3/2015 9:47,,,,
TEAM3,9,11/4/2015,0.215,0.096124919,11/4/2015 9:25,,,,
TEAM3,9,11/6/2015,0.57,0.267762332,11/6/2015 9:28,,,,
TEAM3,9,11/7/2015,0.08,0.038470768,11/7/2015 9:34,,,,
TEAM3,9,11/9/2015,0.03,0.014142136,11/9/2015 9:32,,,,
TEAM3,10,11/3/2015,0.13,0.044907312,11/3/2015 10:32,,,,
TEAM3,10,11/5/2015,0.235,0.060221812,11/5/2015 10:25,,,,
TEAM3,10,11/6/2015,0.56,0.107966044,11/6/2015 10:28,,,,
TEAM3,10,11/7/2015,0.04,0.016733201,11/7/2015 10:29,,,,
TEAM3,10,11/9/2015,0.02,0.010327956,11/9/2015 10:32,,,,
TEAM3,11,11/3/2015,0.12,0.028284271,11/3/2015 11:32,,,,
TEAM3,11,11/5/2015,0.185,0.041472883,11/5/2015 11:26,,,,
TEAM3,11,11/6/2015,0.425,0.054650404,11/6/2015 11:28,,,,
TEAM3,11,11/8/2015,0.11,0.057154761,11/8/2015 11:26,,,,
TEAM3,11,11/9/2015,0.05,0.026645825,11/9/2015 11:32,,,,
TEAM3,12,11/3/2015,0.135,0.031411251,11/3/2015 12:33,,,,
TEAM3,12,11/5/2015,0.195,0.070047603,11/5/2015 12:26,,,,
TEAM3,12,11/6/2015,0.345,0.035777088,11/6/2015 12:29,,,,
TEAM3,12,11/8/2015,0.105,0.023380904,11/8/2015 12:27,,,,
TEAM3,13,11/3/2015,0.14,0.02786874,11/3/2015 13:33,,,,
TEAM3,13,11/5/2015,0.195,0.077974355,11/5/2015 13:26,,,,
TEAM3,13,11/6/2015,0.395,0.07501111,11/6/2015 13:29,,,,
TEAM3,13,11/8/2015,0.055,0.0332666,11/8/2015 13:28,,,,
TEAM3,14,11/3/2015,0.135,0.255166612,11/3/2015 14:33,,,,
TEAM3,14,11/5/2015,0.2,0.047609523,11/5/2015 14:26,,,,
